pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s
1,7,6,2.052,2.1975,2.3429,0.2909
1,7,5,2.4004,2.54,2.6795,0.2791
1,7,4,2.738,2.8829,3.0277,0.2897
1,7,5,3.0857,3.2316,3.3775,0.2918
1,7,3,3.4362,3.5768,3.7174,0.2812
1,7,3,3.7691,3.9184,4.0676,0.2985
1,7,6,4.1254,4.2699,4.4145,0.2891
1,7,3,4.4723,4.6128,4.7533,0.2809
1,7,3,4.7992,4.9556,5.1119,0.3126
1,7,6,5.1698,5.3145,5.4593,0.2895
1,7,3,5.5168,5.6589,5.801,0.2842
1,7,4,5.8569,6.0013,6.1457,0.2887
1,7,4,6.191,6.3484,6.5057,0.3148
1,7,2,6.564,6.7154,6.8668,0.3028
1,7,6,6.9239,7.0674,7.2109,0.287
1,7,6,7.2681,7.4081,7.5482,0.28
1,7,4,7.6136,7.7539,7.8942,0.2806
1,7,4,7.9504,8.0935,8.2366,0.2862
1,7,2,8.2955,8.4439,8.5923,0.2967
1,7,6,8.6476,8.7916,8.9355,0.2879
1,7,3,8.9926,9.1332,9.2738,0.2812
1,7,2,9.3287,9.4783,9.6278,0.299
1,7,2,9.6826,9.8285,9.9744,0.2918
1,7,1,10.0291,10.1794,10.3298,0.3007
1,7,6,10.3821,10.5262,10.6704,0.2883
1,7,3,10.7192,10.8638,11.0083,0.2891
1,7,3,11.0623,11.2118,11.3613,0.299
1,7,4,11.4194,11.5625,11.7057,0.2862
1,7,4,11.7552,11.9105,12.0659,0.3107
1,7,3,12.1225,12.283,12.4435,0.321
1,7,6,12.4999,12.6426,12.7854,0.2855
1,7,4,12.8418,12.9852,13.1285,0.2867
1,7,3,13.1853,13.3297,13.4741,0.2888
1,7,6,13.5323,13.6702,13.8082,0.276
1,7,6,13.8593,14.0033,14.1473,0.288
1,7,5,14.2129,14.3539,14.4948,0.282
1,7,4,14.5532,14.7009,14.8486,0.2954
1,7,2,14.9051,15.0572,15.2093,0.3041
1,7,1,15.2678,15.4139,15.56,0.2923
1,7,1,15.6164,15.7618,15.9072,0.2908
1,7,3,15.9647,16.1052,16.2457,0.2809
1,7,3,16.2938,16.4302,16.5666,0.2727
1,7,2,16.6238,16.7638,16.9037,0.2799
1,7,3,16.9543,17.1085,17.2628,0.3085
1,7,3,17.3181,17.4576,17.5971,0.279
1,7,5,17.6537,17.7961,17.9385,0.2848
1,7,6,17.9927,18.1395,18.2862,0.2936
1,7,2,18.3424,18.49,18.6375,0.2951
1,7,2,18.6888,18.8422,18.9956,0.3068
1,7,6,19.0487,19.2023,19.3559,0.3072
1,7,3,19.4054,19.5495,19.6936,0.2881
1,7,3,19.7468,19.8905,20.0342,0.2874
1,7,2,20.0915,20.234,20.3766,0.2851
1,7,1,20.4284,20.5759,20.7234,0.295
1,7,1,20.7784,20.9192,21.06,0.2816
1,7,4,21.1184,21.2585,21.3987,0.2804
1,7,6,21.4572,21.6091,21.7611,0.3039
1,7,6,21.8153,21.9588,22.1022,0.2869
1,7,3,22.1655,22.3081,22.4507,0.2852
1,7,3,22.496,22.6535,22.811,0.315
1,7,6,22.8692,23.0085,23.1478,0.2786
1,7,6,23.2053,23.3424,23.4794,0.2741
1,7,3,23.5405,23.6808,23.821,0.2805
1,7,2,23.8695,24.0208,24.1721,0.3026
1,7,2,24.2275,24.3761,24.5247,0.2973
1,7,3,24.5754,24.7283,24.8811,0.3057
1,7,3,24.9353,25.0695,25.2037,0.2684
1,7,1,25.2618,25.4007,25.5397,0.2779
1,7,1,25.5829,25.751,25.9192,0.3363
1,7,6,25.9706,26.1267,26.2828,0.3122
1,7,5,26.3422,26.483,26.6238,0.2816
1,7,3,26.6797,26.8174,26.9551,0.2754
1,7,6,27.0065,27.1565,27.3065,0.3001
1,7,5,27.3652,27.5057,27.6462,0.281
1,7,1,27.705,27.8496,27.9942,0.2892
1,7,1,28.049,28.1897,28.3304,0.2814
1,7,4,28.3904,28.5361,28.6818,0.2914
1,7,6,28.7409,28.8893,29.0378,0.2968
1,7,3,29.0977,29.2347,29.3716,0.2739
1,7,3,29.4173,29.5709,29.7245,0.3071
1,7,1,29.782,29.9269,30.0718,0.2898
1,7,2,30.1243,30.2701,30.4158,0.2915
1,7,2,30.4655,30.6095,30.7536,0.288
1,7,5,30.8077,30.9547,31.1017,0.294
1,7,3,31.158,31.3031,31.4481,0.2902
1,7,3,31.5016,31.6542,31.8068,0.3052
1,7,6,31.8635,32.0098,32.1561,0.2926
1,7,5,32.2111,32.3562,32.5013,0.2901
1,7,2,32.5608,32.7023,32.8437,0.283
1,7,1,32.898,33.0463,33.1947,0.2967
1,7,2,33.2472,33.3989,33.5507,0.3034
1,7,3,33.6017,33.7437,33.8858,0.284
1,7,3,33.9407,34.076,34.2114,0.2707
1,7,6,34.2693,34.4136,34.5579,0.2885
1,7,6,34.6172,34.7569,34.8965,0.2792
1,7,5,34.959,35.1035,35.248,0.2889
1,7,2,35.3071,35.4576,35.608,0.3009
1,7,4,35.6642,35.8104,35.9565,0.2924
1,7,4,36.0118,36.1534,36.2951,0.2833
1,7,5,36.3522,36.5064,36.6606,0.3084
1,7,2,36.7101,36.8642,37.0184,0.3084
1,7,6,37.0761,37.2239,37.3717,0.2956
1,7,3,37.4282,37.569,37.7098,0.2816
1,7,4,37.7667,37.9103,38.0539,0.2872
1,7,6,38.1031,38.252,38.4008,0.2977
1,7,6,38.4531,38.6038,38.7546,0.3015
1,7,3,38.8172,38.9575,39.0979,0.2807
1,7,3,39.1468,39.3015,39.4562,0.3093
1,7,6,39.5138,39.6584,39.803,0.2892
1,7,5,39.8603,40.0028,40.1453,0.285
1,7,6,40.2002,40.3426,40.4849,0.2847
1,7,4,40.5368,40.6846,40.8324,0.2956
1,7,5,40.8921,41.0343,41.1765,0.2844
1,7,6,41.2333,41.3765,41.5197,0.2864
1,7,2,41.5774,41.7222,41.8671,0.2897
1,7,2,41.9173,42.0779,42.2385,0.3212
1,7,2,42.2955,42.4443,42.5931,0.2976
1,7,6,42.6485,42.8012,42.9539,0.3053
1,7,4,43.0007,43.1534,43.3061,0.3054
1,7,6,43.366,43.5023,43.6386,0.2726
1,7,6,43.6939,43.8395,43.9852,0.2913
1,7,3,44.0436,44.1933,44.3431,0.2995
1,7,2,44.3883,44.5529,44.7174,0.3291
1,7,6,44.7668,44.9292,45.0917,0.325
1,7,6,45.1453,45.2865,45.4278,0.2825
1,7,2,45.4922,45.6318,45.7714,0.2792
1,7,5,45.823,45.977,46.131,0.308
1,7,1,46.1863,46.3301,46.4739,0.2876
1,7,4,46.5278,46.6756,46.8233,0.2955
1,7,2,46.8809,47.0171,47.1534,0.2725
1,7,6,47.2043,47.3546,47.5049,0.3006
1,7,1,47.5628,47.7036,47.8445,0.2817
1,7,3,47.8913,48.0675,48.2436,0.3523
1,7,3,48.302,48.4258,48.5495,0.2475
1,7,2,48.6078,48.7478,48.8877,0.2799
1,7,2,48.941,49.0916,49.2423,0.3013
1,7,1,49.2995,49.4473,49.5952,0.2956
1,7,4,49.6491,49.8014,49.9537,0.3046
1,7,4,50.006,50.1623,50.3187,0.3127
1,7,6,50.3803,50.5303,50.6804,0.3001
1,7,1,50.7403,50.8796,51.0189,0.2786
1,7,4,51.0735,51.222,51.3704,0.2969
1,7,4,51.4268,51.5679,51.7091,0.2824
1,7,1,51.7706,51.9174,52.0642,0.2936
1,7,2,52.1196,52.2561,52.3927,0.2732
1,7,6,52.4446,52.5826,52.7205,0.2758
1,7,5,52.7742,52.9146,53.0551,0.2809
1,7,3,53.1175,53.2608,53.4042,0.2867
1,7,2,53.4568,53.602,53.7472,0.2904
1,7,1,53.7982,53.9541,54.11,0.3118
1,7,1,54.1629,54.3134,54.464,0.3011
1,7,3,54.5226,54.6686,54.8147,0.2922
1,7,3,54.8658,54.9946,55.1234,0.2576
1,7,3,55.1818,55.3227,55.4636,0.2818
1,7,6,55.5211,55.6603,55.7994,0.2784
1,7,1,55.8587,55.9971,56.1354,0.2767
1,7,4,56.1876,56.3478,56.508,0.3204
1,7,1,56.5664,56.7169,56.8674,0.3009
1,7,6,56.9248,57.0648,57.2049,0.2801
1,7,6,57.256,57.4024,57.5487,0.2928
1,7,3,57.6146,57.7544,57.8942,0.2796
1,7,3,57.944,58.0908,58.2376,0.2935
1,7,6,58.2955,58.436,58.5766,0.2811
1,7,6,58.6338,58.7756,58.9173,0.2835
1,7,5,58.9822,59.1266,59.2711,0.2889
1,7,1,59.3293,59.4753,59.6212,0.2919
1,7,2,59.6695,59.8334,59.9973,0.3278
1,7,6,60.0537,60.1967,60.3397,0.286
1,7,5,60.3975,60.536,60.6745,0.277
1,7,6,60.7318,60.8697,61.0076,0.2758
1,7,2,61.067,61.2073,61.3476,0.2805
1,7,2,61.4011,61.5538,61.7065,0.3054
1,7,1,61.7623,61.9077,62.0532,0.2909
1,7,1,62.1048,62.2758,62.4468,0.342
1,7,4,62.4999,62.6589,62.818,0.3181
1,7,5,62.8759,63.0303,63.1848,0.309
1,7,6,63.2383,63.3839,63.5296,0.2913
1,7,3,63.5909,63.7271,63.8633,0.2725
1,7,3,63.9144,64.058,64.2016,0.2872
